id, word, syllable_word, phonetic, synonym
1, Winterfell, Win·ter·fell, ˈwɪn·tərˌfel, "凛冬城堡，北境之心"
2, Dragonfire, Drag·on·fire, ˈdræɡ·ənˌfaɪər, "龙之火焰，烈焰焚城"
3, Iron Throne, Ir·on Throne, ˈaɪ·ərn θroʊn, "铁王座，权力之巅"
4, Valyrian Steel, Val·yr·i·an Steel, vəˈlɪər·i·ən stil, "瓦雷利亚钢，锋利无匹"
5, Direwolf, Dire·wolf, ˈdaɪərˌwʊlf, "冰原狼，北境守护"
6, White Walker, White Walk·er, waɪt ˈwɔːk·ər, "异鬼来袭，死亡寒潮"
7, Wildling, Wild·ling, ˈwaɪld·lɪŋ, "野人族群，自由之民"
8, Kingslayer, Kings·lay·er, ˈkɪŋzˌsleɪ·ər, "弑君者，荣誉之殇"
9, Night's Watch, Night's Watch, naɪts wɔːtʃ, "守夜人，长城卫士"
10, Winter Is Coming, Win·ter Is Com·ing, ˈwɪn·tər ɪz ˈkʌm·ɪŋ, "凛冬将至"
11, Dothraki, Doth·ra·ki, ˈdoʊ·θrə·ki, "多斯拉克，草原骑士"
12, Faceless Men, Face·less Men, ˈfeɪs·lɪs men, "无面者，刺客之影"
13, Red Priestess, Red Priest·ess, rɛd ˈpriːs·tɪs, "红袍女祭司，烈火信仰"
14, Warg, Warg, wɔːrg, "瓦格，心灵共鸣"
15, Seven Kingdoms, Sev·en King·doms, ˈsɛv·ən ˈkɪŋ·dəmz, "七大王国，权力斗争"
16, Dragonglass, Drag·on·glass, ˈdræɡ·ənˌɡlæs, "龙晶，异鬼克星"
17, Casterly Rock, Cas·ter·ly Rock, ˈkæs·tər·li rɒk, "凯斯特岩，狮家堡垒"
18, Greensight, Green·sight, ˈɡriːnˌsaɪt, "绿视能力，预知未来"
19, Lannister, Lan·nis·ter, ˈlæn·ɪ·stər, "兰尼斯特，金狮家族"
20, Shadowbinder, Shad·ow·bind·er, ˈʃæd·oʊˌbaɪn·dər, "影缚者，暗影魔法"
21, Dorne, Dorne, dɔːrn, "多恩地，南境沙漠"
22, Unsullied, Un·sul·lied, ʌnˈsʌl·id, "无垢者，精锐战士"
23, Harpy, Har·py, ˈhɑːr·pi, "鹰头女妖，奴隶主象征"
24, Stormborn, Storm·born, ˈstɔːrmˌbɔːrn, "风暴降生，龙母之名"
